seed,horizon_frames,method,field,band,n_low,n_high,power_ratio,truth_power_weighted_transfer_coherence
1702,4,direct,Vi,k1_3,5,15,0.16022626305022686,0.025516191976137883
1702,4,direct,Ne,k4_5,20,25,0.25696517771370436,0.14890092561681564
1702,4,direct,Pe,k4_5,20,25,0.2325971124758108,0.16959465942119156
1702,4,direct,Pi,k4_5,20,25,0.21880668620485563,0.16408524138297703
1702,4,direct,phi,k4_5,20,25,0.2782104891509594,0.130531032463739
1702,4,direct,Vi,k4_5,20,25,0.20135203889361486,0.006062069368877207
1702,4,direct,Ne,k6_7,30,35,0.18522033162002186,0.0015820686624080304
1702,4,direct,Pe,k6_7,30,35,0.16794760181837956,0.0007510956520731882
1702,4,direct,Pi,k6_7,30,35,0.15359634395191862,0.0009964439318071562
1702,4,direct,phi,k6_7,30,35,0.297561925495614,0.000803367553542029
1702,4,direct,Vi,k6_7,30,35,0.19907209323742842,7.956076912291154e-05
1703,4,direct,Ne,k1_3,5,15,0.25573707440573884,0.07138912378289362
1703,4,direct,Pe,k1_3,5,15,0.24633231689806712,0.03149509226336603
1703,4,direct,Pi,k1_3,5,15,0.20654427550109963,0.03633559903864183
1703,4,direct,phi,k1_3,5,15,0.27023281026017,0.04867202567854341
1703,4,direct,Vi,k1_3,5,15,0.1692458316570504,0.01853917936930911
1703,4,direct,Ne,k4_5,20,25,0.26323391346666725,0.14094798600897332
1703,4,direct,Pe,k4_5,20,25,0.25490726291950316,0.17230562469405786
1703,4,direct,Pi,k4_5,20,25,0.24176058214705703,0.1615181839887495
1703,4,direct,phi,k4_5,20,25,0.2878279918056906,0.13969035447286826
1703,4,direct,Vi,k4_5,20,25,0.19644543855790014,0.0071729984184992985
1703,4,direct,Ne,k6_7,30,35,0.19653559886438624,0.0008682835415062264
1703,4,direct,Pe,k6_7,30,35,0.17575270172658186,0.0025161891201223997
1703,4,direct,Pi,k6_7,30,35,0.1638260228845463,0.0023695270821993014
1703,4,direct,phi,k6_7,30,35,0.2869583652367585,0.0009976055532993214
1703,4,direct,Vi,k6_7,30,35,0.19950696620081987,2.2495139343899765e-05
baseline,8,persistence,Ne,k1_3,5,15,1.0110844252633804,0.011706893327804061
baseline,8,persistence,Pe,k1_3,5,15,0.9957797150241826,0.010053050988963558
baseline,8,persistence,Pi,k1_3,5,15,1.0028584473786877,0.010623521456369628
baseline,8,persistence,phi,k1_3,5,15,0.9801044638816715,0.04517082572066619
baseline,8,persistence,Vi,k1_3,5,15,1.000297977344702,0.005352427456613968
baseline,8,persistence,Ne,k4_5,20,25,0.9562840277519685,0.01041838630727895
baseline,8,persistence,Pe,k4_5,20,25,0.9518700083089371,0.015113013441212794
baseline,8,persistence,Pi,k4_5,20,25,0.9565091001629238,0.011414515230720212
baseline,8,persistence,phi,k4_5,20,25,0.9481874610506895,0.010729407540634398
baseline,8,persistence,Vi,k4_5,20,25,0.9699098476638198,0.0015967506042501957
baseline,8,persistence,Ne,k6_7,30,35,1.0035803030013664,0.001151827433556576
baseline,8,persistence,Pe,k6_7,30,35,0.9980743267816511,0.001044084904567168
baseline,8,persistence,Pi,k6_7,30,35,0.9994675200596161,0.0006836662831046224
baseline,8,persistence,phi,k6_7,30,35,0.9990033156625828,0.0008438753879455661
