seed,horizon_frames,method,pair,band,n_low,n_high,phase_error_degrees,absolute_coherence_change
1701,8,autoregressive_lead4,Ne-phi,k4_5,20,25,11.284583529115492,0.43047542763575886
1701,8,autoregressive_lead4,Pe-phi,k4_5,20,25,14.600231871195277,0.3371431616746919
1701,8,autoregressive_lead4,Pi-phi,k4_5,20,25,1.0621223907674266,0.4083606233120829
1701,8,autoregressive_lead4,Ne-phi,k6_7,30,35,54.20267946436458,0.4957582743447446
1701,8,autoregressive_lead4,Pe-phi,k6_7,30,35,57.32694001946023,0.4106070190621244
1701,8,autoregressive_lead4,Pi-phi,k6_7,30,35,29.179821442116754,0.5437881717668017
1702,8,autoregressive_lead4,Ne-phi,k1_3,5,15,7.18991089198823,0.38326241016192386
1702,8,autoregressive_lead4,Pe-phi,k1_3,5,15,43.462685668875146,0.34335983342550214
1702,8,autoregressive_lead4,Pi-phi,k1_3,5,15,11.382960056126825,0.36810019548558576
1702,8,autoregressive_lead4,Ne-phi,k4_5,20,25,5.91845230360233,0.566065480576124
1702,8,autoregressive_lead4,Pe-phi,k4_5,20,25,8.590092456324294,0.4560747575204115
1702,8,autoregressive_lead4,Pi-phi,k4_5,20,25,7.498934510566255,0.45989635956193076
1702,8,autoregressive_lead4,Ne-phi,k6_7,30,35,39.64394564624977,0.5185923599088663
1702,8,autoregressive_lead4,Pe-phi,k6_7,30,35,72.59462384252743,0.4231235475117571
1702,8,autoregressive_lead4,Pi-phi,k6_7,30,35,9.282554867007365,0.48788882830484914
1703,8,autoregressive_lead4,Ne-phi,k1_3,5,15,9.564106474912943,0.35052510276895654
1703,8,autoregressive_lead4,Pe-phi,k1_3,5,15,14.435246183669802,0.3279503005380041
1703,8,autoregressive_lead4,Pi-phi,k1_3,5,15,7.0820300705930554,0.34019180159102735
1703,8,autoregressive_lead4,Ne-phi,k4_5,20,25,9.143904107916198,0.49386284336262143
1703,8,autoregressive_lead4,Pe-phi,k4_5,20,25,8.338013467041877,0.304040589437576
1703,8,autoregressive_lead4,Pi-phi,k4_5,20,25,5.850325797958015,0.36396426827701833
1703,8,autoregressive_lead4,Ne-phi,k6_7,30,35,43.40879877436731,0.5244127286725897
