seed,horizon_frames,method,quantity,reduction,relative_l2,normalized_bias,rms_ratio,pearson_correlation,weighted_sign_disagreement
1701,8,autoregressive_lead4,total_internal_energy,strict_faces,1.100881432070144,-0.023380406112205893,0.477287557673994,0.016510198480841433,0.4868943158245933
1701,8,autoregressive_lead4,total_internal_energy,separatrix,0.9328424016382636,-0.8712615775863974,0.08546958845910105,-0.05776667092452591,0.0
1702,8,autoregressive_lead4,particle,strict_faces,1.0822535730369367,-0.012911008120812655,0.426915318490258,0.012774426331971681,0.4898089975872138
1702,8,autoregressive_lead4,particle,separatrix,0.9011034559639184,-0.8417849610843219,0.10849871445390195,0.13682219983650803,0.0
1702,8,autoregressive_lead4,electron_internal_energy,strict_faces,1.0989575211100637,-0.024951036061159632,0.4683406577976311,0.012322354587134474,0.4906337037246718
1702,8,autoregressive_lead4,electron_internal_energy,separatrix,0.9472384585677415,-0.8868916340099731,0.05980469939234032,-0.019227215499457995,0.0
1702,8,autoregressive_lead4,ion_internal_energy,strict_faces,1.0880577140902885,-0.021660041481828304,0.44168497821689384,0.012561487867814247,0.4904651741367977
1702,8,autoregressive_lead4,ion_internal_energy,separatrix,0.907303499475118,-0.8452857025735742,0.10086831622119327,0.07060553576281553,0.0
1702,8,autoregressive_lead4,total_internal_energy,strict_faces,1.0933622071517015,-0.023306466682835106,0.45483027941848614,0.012445484047845264,0.49054054349668574
1702,8,autoregressive_lead4,total_internal_energy,separatrix,0.9288722851067661,-0.8690691963310585,0.07748572654438735,0.026434931685638003,0.0
1703,8,autoregressive_lead4,particle,strict_faces,1.0829993965728084,-0.012763869028219521,0.4413881504003126,0.024758346985044043,0.48303867415297586
1703,8,autoregressive_lead4,particle,separatrix,0.8427430217946785,-0.7796772096859398,0.1792721013608177,0.16860016002202755,0.0
1703,8,autoregressive_lead4,electron_internal_energy,strict_faces,1.0993508601625674,-0.02440832075935101,0.47700277492918747,0.01974811963211305,0.4842518867898214
1703,8,autoregressive_lead4,electron_internal_energy,separatrix,0.8981821720248523,-0.8371970631997075,0.11341960555574514,0.2193849087163444,0.0
1703,8,autoregressive_lead4,ion_internal_energy,strict_faces,1.0892272564618561,-0.021214837699006783,0.4550833438086881,0.02257467943568828,0.48370936725612285
1703,8,autoregressive_lead4,ion_internal_energy,separatrix,0.8529973470997245,-0.7898360072789133,0.17208786694983885,0.22394030335182064,0.0
1703,8,autoregressive_lead4,total_internal_energy,strict_faces,1.0941088272657633,-0.022813046367915,0.4657834227188802,0.02120012952469796,0.48396016522076524
1703,8,autoregressive_lead4,total_internal_energy,separatrix,0.876891170658403,-0.8167016398611112,0.13938293006755187,0.23875291399882853,0.0
1701,8,direct,particle,strict_faces,1.1157103960003554,-0.013022677307778457,0.5050903331202186,0.010130024463723509,0.49194996896793475
1701,8,direct,particle,separatrix,0.899338794890996,-0.8317616336228764,0.12624571733324816,-0.2558402539781979,0.0
1701,8,direct,electron_internal_energy,strict_faces,1.1336486296328365,-0.02439815282041557,0.5431661558718373,0.00897220677978444,0.4931515556213528
1701,8,direct,electron_internal_energy,separatrix,0.929804539329769,-0.8660144326841944,0.08496634449965275,-0.1404200888232926,0.0
1701,8,direct,ion_internal_energy,strict_faces,1.1235830360778094,-0.021240772081657654,0.5221047855671473,0.009590359020168518,0.4928133211956981
1701,8,direct,ion_internal_energy,separatrix,0.8923812071107721,-0.8248217900227169,0.12652617159155732,-0.1732291818691832,0.0
1701,8,direct,total_internal_energy,strict_faces,1.128561159902547,-0.022821679191643792,0.5325924972705934,0.009266713760806271,0.492970343251087
1701,8,direct,total_internal_energy,separatrix,0.9126166950910976,-0.8483544918764098,0.10297265197352223,-0.18102286598593345,0.0
1702,8,direct,particle,strict_faces,1.1150455540358493,-0.013481578066827265,0.5087922493118123,0.015216780894511157,0.4885313963124466
1702,8,direct,particle,separatrix,0.9197888573383962,-0.8556884982594761,0.09618217296598806,-0.35072541680840486,0.0
1702,8,direct,electron_internal_energy,strict_faces,1.1330663678097097,-0.024884746265867307,0.5447630275876675,0.011776722103081174,0.48926431244222884
1702,8,direct,electron_internal_energy,separatrix,0.947176466534579,-0.8843936152995908,0.06500559499777192,-0.23145109620927262,0.0
1702,8,direct,ion_internal_energy,strict_faces,1.118489647899078,-0.021552397303189665,0.5153148833742516,0.01397835875924519,0.4891154250911368
1702,8,direct,ion_internal_energy,separatrix,0.9159027571843024,-0.852442616592592,0.09428625578484769,-0.15862037253244607,0.0
1702,8,direct,total_internal_energy,strict_faces,1.1254914803034837,-0.023218416358205884,0.5296461980771672,0.012915974111597298,0.4891769478823241
1702,8,direct,total_internal_energy,separatrix,0.9327646599825878,-0.8709519751055271,0.0773881077627412,-0.2219919681235438,0.0
1703,8,direct,particle,strict_faces,1.1124002330666398,-0.013087024387307819,0.5005385624923434,0.013019496559739845,0.49119328034206444
1703,8,direct,particle,separatrix,0.89334250574474,-0.8326202993036671,0.12230049914488494,0.08267145370299908,0.005567477307202153
1703,8,direct,electron_internal_energy,strict_faces,1.129214368961479,-0.02466615492973784,0.5385945995536395,0.013787542382445724,0.49134208145109376
1703,8,direct,electron_internal_energy,separatrix,0.9432568347765173,-0.8830922056097725,0.06498056240243275,0.04682740576219206,0.0
1703,8,direct,ion_internal_energy,strict_faces,1.1203168220948063,-0.021308580246183824,0.5186933242712828,0.013299962018647742,0.49156458954858856
1703,8,direct,ion_internal_energy,separatrix,0.9153869357156653,-0.8563624044480302,0.09248403033808592,0.2794611327786346,0.0
1703,8,direct,total_internal_energy,strict_faces,1.1245689385153497,-0.02298603773027669,0.5282716402859559,0.013526920682028853,0.49146154050849966
1703,8,direct,total_internal_energy,separatrix,0.9303251414832627,-0.8720196740607283,0.07656830339699955,0.19154434759508476,0.0
